Verbs,Meaning
でる【出る】,"to appear, to leave"
とる【取る】,to take something
とる【撮る】,to take a photo or record a film 
とる【採る】,"(1) to adopt (measure, proposal), (2) to pick (fruit)"
とる【捕る】,"to take, to catch (fish), to capture "
なる【鳴る】,to sound
なる【為る】,"to change, to be of use, to reach to "
なる【成る】,to become
なる【生る】,to bear fruit
にる【似る】,to be similar
にる【煮る】,"to boil, to cook, to simmer, to stew"
ぬる【塗る】,"to paint, to colour, to plaster "
ねる【寝る】,"to go to bed, to sleep"
ねる【練る】,"to knead, to work over, to polish up "
のる【乗る】,"to get on, to ride"
のる【載る】,"to appear (in print), to be recorded "
はる【貼る】,to stick
はる【張る】,"to stick, to paste, to affix"
ふる【降る】,"to fall, e.g. rain or snow"
ふる【振る】,"(1) to wave, to shake, to swing,(2) to sprinkle,(3) to cast (actor), to allocate (work)"
へる【減る】,"to decrease (in size or number), to diminish, to abate "
へる【経る】,"to pass, to elapse, to experience "
ほる【掘る】,"to dig, to excavate"
ほる【彫る】,"to carve, to engrave, to sculpture, to chisel"
みる【観る】,"to see, to watch"
みる【見る】,"to see, to watch"
みる【診る】,to examine (medical)
もる【盛る】,"(1) to serve (food, etc.),(2) to fill up,(3) to prescribe "
もる【漏る】,"to leak, to run out"
よる【寄る】,to visit
よる【因る】,"to be based on, to come from, to be due to, be caused by, to depend on"
やる【遣る】,"to do, to have sexual intercourse, to kill, to give inferiors animals etc.), to dispatch"
わる【割る】,"to divide, to cut, to break, to halve "
おおう【覆う】,"to cover, to hide, to conceal, to wrap, to disguise "
におう【匂う】,"to be fragrant, to smell, to stink "
ちかう【誓う】,"to swear, to vow, to take an oath, to pledge "
つかう【使う】,to use
ちがう【違う】,to differ
ねがう【願う】,"to desire, to wish, to request "
すくう【救う】,"to rescue from, to help out of "
すくう【掬う】,"to scoop, to ladle out"
おそう【襲う】,to attack
さそう【誘う】,"(1) to invite, to ask,(2) to tempt, to lure, to induce"
うたう【歌う】,to sing
したう【慕う】,"to yearn for, to miss, to adore, to love dearly "
やとう【雇う】,"to employ, to hire"
かなう【叶う】,to come true (wish)
になう【担う】,"to carry on shoulder, to bear (burden), to shoulder (gun) "
うばう【奪う】,to snatch away
かまう【構う】,"to mind, to care about, to be concerned about "
たまう【給う】,"to receive, to grant"
おもう【思う】,"to think, to feel"
かよう【通う】,to commute
あらう【洗う】,to wash
きらう【嫌う】,"to hate, to dislike, to loathe "
さらう【拐う】,"to carry off, to run away with, to kidnap, to abduct"
ならう【習う】,to learn
ならう【倣う】,"to imitate, to follow, to emulate"
ねらう【狙う】,to aim at
はらう【払う】,to pay
もらう【貰う】,to receive
わらう【笑う】,"to laugh, to smile"
くるう【狂う】,"to go mad, to get out of order "
そろう【揃う】,"to become complete, to be equal, to be all present, to gather"
ひろう【拾う】,"o pick up, to gather"
いわう【祝う】,"to congratulate, to celebrate "
あおぐ【扇ぐ】,"to fan, to flap"
あおぐ【仰ぐ】,"to look up (to), to respect, to depend on, to ask for, to eek, to revere, to drink, to take "
えがく【描く】,"to draw, to paint, to sketch, to depict, to describe "
みがく【磨く】,"to brush teeth, to polish"
なげく【嘆く】,"to sigh, to lament, to grieve "
うごく【動く】,to move
ふさぐ【塞ぐ】,"to stop up, to close up, to block (up)"
きずく【築く】,"to build, to pile up, to amass "
すすぐ【濯ぐ】,"to rinse, to wash out"
はじく【弾く】,"to flip, to snap"
かせぐ【稼ぐ】,"to earn income, to labor "
ふせぐ【防ぐ】,"to defend (against), to protect, to prevent"
いそぐ【急ぐ】,to hurry
そそぐ【注ぐ】,"to pour (into), to irrigate, to pay, to fill, to feed (e.g. a fire) "
のぞく【除く】,"to remove, to exclude, to except "
のぞく【覗く】,"to peep in, to look in, to peek in, to stick out"
たたく【叩く】,"to strike, to clap, to dust, to beat "
くだく【砕く】,"to break, to smash"
またぐ【跨ぐ】,to straddle
つつく【突く】,"1. to thrust, to strike, to attack2. to poke, to nudge, to pick at "
なつく【懐く】,to become emotionally attached 
つづく【続く】,to be continued
かつぐ【担ぐ】,"to shoulder, to carry on shoulder "
とどく【届く】,to reach
ほどく【解く】,to unfasten
つなぐ【繋ぐ】,"to tie, to fasten, to connect, to transfer (phone call) "
まねく【招く】,to invite
しのぐ【凌ぐ】,"to outdo, to surpass, to endure, to keep out (rain), to stave off, to tide over, to pull through, to defy"
さばく【裁く】,to judge
ひびく【響く】,to resound
はぶく【省く】,"to omit, to eliminate, to curtail, to economize "
そむく【背く】,"to run counter to, to go against, to disobey, to infringe "
およぐ【泳ぐ】,to swim
かわく【乾く】,to get dry
かわく【渇く】,to be thirsty
さわぐ【騒ぐ】,"to make noise, to be excited "
ひらく【開く】,to open an event
あるく【歩く】,to walk
かえす【返す】,to return something
かえす【帰す】,to send back
たおす【倒す】,"to throw down, to beat, to bring down, to blow down "
とおす【通す】,"to let pass, to overlook, to continue "
なおす【直す】,"to fix, to repair"
なおす【治す】,"to cure, to heal, to fix, to correct, to repair "
おかす【犯す】,"to commit, to perpetrate, to violate, to rape "
おかす【侵す】,"to invade, to raid, to trespass, to violate, to intrude on "
まかす【任す】,"to entrust, to leave to a person "
けがす【汚す】,"to disgrace, to dishonour "
さがす【探す】,to look for
さがす【捜す】,"to search, to seek, to look for "
ながす【流す】,"to drain, to float, to shed (blood, tears), to cruise (e.g. taxi)"
のがす【逃す】,"to let loose, to set free, to let escape "
かくす【隠す】,"to hide, to conceal"
やくす【訳す】,to translate
りゃくす【略す】,to abbreviate
おこす【起す】,to wake
のこす【残す】,"to leave (behind, over), to bequeath, to save, to reserve "
よごす【汚す】,"(1) to disgrace, to dishonour,(2) to pollute, to contaminate, to soil, to make dirty, to stain "
くずす【崩す】,"to destroy, to pull down, to make change (money)"
はずす【外す】,"to unfasten, to remove"
ひたす【浸す】,"to soak, to dip, to drench"
わたす【渡す】,to hand over
みだす【乱す】,"to throw out of order, to disarrange, to disturb"
うつす【写す】,to copy or photograph
うつす【移す】,"to remove, to transfer, to infect"
うつす【映す】,"to project, to reflect, to cast (shadow)"
おとす【落す】,to drop
おどす【脅す】,"to threaten, to menace"
もどす【戻す】,"to restore, to put back, to return"
けなす【貶す】,to speak ill of
はなす【話す】,to speak
はなす【離す】,"to part, divide, separate"
はなす【放す】,"to separate, to set free"
つぶす【潰す】,"to smash, to waste"
