More,Categories,Time,Food,Home,Daily,Weather,Kitchen,Cooking,Supermarket,Health,Places,Transportation,Person,School,Nature,Interest,Work,Restaurant,Mastery,Adverbs,Verbs,Adjectives,Similars
,"留守番する# staying at home",,,,,,,,,,,,,,,,,,,,,,
,"私はちょっと風邪を引いているので家でする板ですが# I staying at home because I have a slight cold",,,,,,,,,,,,,,,,,,,,,,
,"起床する# to get up",,,,,,,,,,,,,,,,,,,,,,
,"研修中は6時起床です# I’ve been getting up at 6 during my training",,,,,,,,,,,,,,,,,,,,,,
,"就寝する# to go to bed",,,,,,,,,,,,,,,,,,,,,,
,"病院では就寝時間が決まっています# Bedtime at the hospital is fixed",,,,,,,,,,,,,,,,,,,,,,
,"寝坊する# to　oversleep",,,,,,,,,,,,,,,,,,,,,,
,"明日、寝坊したら起こしてね# Wake me up if I oversleep tomorrow",,,,,,,,,,,,,,,,,,,,,,
,"歯磨き# brushing teeth",,,,,,,,,,,,,,,,,,,,,,
,"朝刊# morning paper",,,,,,,,,,,,,,,,,,,,,,
,"夕刊# evening paper ",,,,,,,,,,,,,,,,,,,,,,
,"髪をとかす# to comb one’s har",,,,,,,,,,,,,,,,,,,,,,
,"寝坊したから髪をとかす時間もなかった# I oversleep, so I don’t even have  the time to comb my hair",,,,,,,,,,,,,,,,,,,,,,
,"香水# perfume",,,,,,,,,,,,,,,,,,,,,,
,"出かける# to go out",,,,,,,,,,,,,,,,,,,,,,
,"どちらにお出かけですか、ちょっと花見に# Where are you going? To look at cherry blossoms",,,,,,,,,,,,,,,,,,,,,,
,"レジ袋# plastic bag",,,,,,,,,,,,,,,,,,,,,,
,"炊事する# cooking",,,,,,,,,,,,,,,,,,,,,,
,"洗い物# washing the dishes, laundry",,,,,,,,,,,,,,,,,,,,,,
,"料理は妻で、洗い物は私がやっています# My wife does the cooking while I do the dishes",,,,,,,,,,,,,,,,,,,,,,
,"また、洗い物が溜まってる# The dishes have piled up again",,,,,,,,,,,,,,,,,,,,,,
,"生ごみ# raw garbage",,,,,,,,,,,,,,,,,,,,,,
,"くず# junk, trash",,,,,,,,,,,,,,,,,,,,,,
,"くず入れ、くずかご、パンくず# trash can, waste basket, breadcrumbs",,,,,,,,,,,,,,,,,,,,,,
,"掃く# to sweep",,,,,,,,,,,,,,,,,,,,,,
,"床は、簡単にほうきで掃ってから雑巾で吹いてください# Please sweep the floor a bit before wiping down with a cloth",,,,,,,,,,,,,,,,,,,,,,
,"片付く# to tidy up",,,,,,,,,,,,,,,,,,,,,,
,"今の仕事が片付いたら、ちょっと旅行に行くつもりです# I planning to take a short holiday after I’m done with this job",,,,,,,,,,,,,,,,,,,,,,
,"部屋が片付く# The room is tidied up",,,,,,,,,,,,,,,,,,,,,,
,"昼寝する# to take a nap",,,,,,,,,,,,,,,,,,,,,,
,"休息する# to rest",,,,,,,,,,,,,,,,,,,,,,
,"練習熱心のはいいけど週に1日は休息日が必要だよ# It’s good to be enthusiastic in practice but you need a day of rest in a week",,,,,,,,,,,,,,,,,,,,,,
,"休養する# to rest",,,,,,,,,,,,,,,,,,,,,,
,"彼女は治療のため、半年ほど休養をとるそうだ# She’s going to take a rest for half year to recover",,,,,,,,,,,,,,,,,,,,,,
,"のんびりする# to relax",,,,,,,,,,,,,,,,,,,,,,
,"たまには温泉にでも行って、のんびりしたい# I sometimes fell like going to a hot spring and relax",,,,,,,,,,,,,,,,,,,,,,
,"余暇# leisure time",,,,,,,,,,,,,,,,,,,,,,
,"余暇の過ごし方# How you spend your leisure time",,,,,,,,,,,,,,,,,,,,,,
,"日課# routine",,,,,,,,,,,,,,,,,,,,,,
,"朝、公園までジョギングするのが日課です# My morning routine involves jogging to the park",,,,,,,,,,,,,,,,,,,,,,
,"毎日の生活# everyday life",,,,,,,,,,,,,,,,,,,,,,
,"目を覚ます# to awaken, to arouse from sleep ",,,,,,,,,,,,,,,,,,,,,,
,"目が覚める# to wake up, to awaken, to come to realization/senses",,,,,,,,,,,,,,,,,,,,,,
,"寝坊する# to oversleep, sleep late",,,,,,,,,,,,,,,,,,,,,,
,"餌をやる# to feed",,,,,,,,,,,,,,,,,,,,,,
,"犬の世話をする# to take care of a dog",,,,,,,,,,,,,,,,,,,,,,
,"花に水をやる# to water the flowers",,,,,,,,,,,,,,,,,,,,,,
,"充電する# to recharge a battery",,,,,,,,,,,,,,,,,,,,,,
,"午後は用事があって少し外出します# I'm going out for a bit this afternoon to run some errands",,,,,,,,,,,,,,,,,,,,,,
,"ゴミは分別して捨ててください# Please dispose of trash separately",,,,,,,,,,,,,,,,,,,,,,
,"レサイクルできるゴミはここです# as for the garbage that can be recycle, put it in here",,,,,,,,,,,,,,,,,,,,,,
,"洗濯物が干せなくて困りますね# I can't hang my clothes to dry.",,,,,,,,,,,,,,,,,,,,,,
,"少し疲れているようだから、睡眠を十分にとるようにしてください# you look a little tired, so make sure you get plenty of sleep",,,,,,,,,,,,,,,,,,,,,,
,"朝寝坊したので髪をセットする時間がなかった# I overslept in the morning and didn't have time to set my hair",,,,,,,,,,,,,,,,,,,,,,
,"午後から雨になったので、洗濯物が全然乾いていない# It rained in the afternoon, so my laundry hasn't dried at all",,,,,,,,,,,,,,,,,,,,,,
,"毎日忙しいですが元気に暮らしています# I'm busy every day, but I'm living well",,,,,,,,,,,,,,,,,,,,,,
,"こういう油汚れは、普通の洗剤では拭いてない# These grease stains aren't wiped with regular detergent",,,,,,,,,,,,,,,,,,,,,,
,"天気# weather",,,,,,,,,,,,,,,,,,,,,,
,"明日の天気はどうですか# How’s the weather be like tomorrow?",,,,,,,,,,,,,,,,,,,,,,
,"天気予報# weather forecast",,,,,,,,,,,,,,,,,,,,,,
,"晴れ# sunny weather",,,,,,,,,,,,,,,,,,,,,,
,"週末の天気は晴れだって。よかったね# It’s going to be sunny this weekend. Great!",,,,,,,,,,,,,,,,,,,,,,
,"晴れる# to become sunny",,,,,,,,,,,,,,,,,,,,,,
,"雨# rain",,,,,,,,,,,,,,,,,,,,,,
,"雨の場合は中止です# In case of rain, It will be cancelled",,,,,,,,,,,,,,,,,,,,,,
,"大雨# heavy rain",,,,,,,,,,,,,,,,,,,,,,
,"雪# snow",,,,,,,,,,,,,,,,,,,,,,
,"降る# to fall (rain, snow, etc)",,,,,,,,,,,,,,,,,,,,,,
,"雨が降ってる。どうしよう。傘がない# It’s raining. What should we do? I don’t have an umbrella",,,,,,,,,,,,,,,,,,,,,,
,"上がる# to stop (rain, etc)",,,,,,,,,,,,,,,,,,,,,,
,"あっ、雨が上がったみたい# Looks like the rain stopped",,,,,,,,,,,,,,,,,,,,,,
,"やむ# to stop (rain, noise, etc)",,,,,,,,,,,,,,,,,,,,,,
,"雨が止んだら出かけましょう# Lets go out when the rain stops",,,,,,,,,,,,,,,,,,,,,,
,"曇り# cloudy weather",,,,,,,,,,,,,,,,,,,,,,
,"明日は曇りのち晴れでしょう# It will be cloudy with occasional sunshine tomorrow",,,,,,,,,,,,,,,,,,,,,,
,"曇る# to become cloudy",,,,,,,,,,,,,,,,,,,,,,
,"曇ってきたね。雨が降るかもしれない# It turned cloudy. Maybe it’ll rain",,,,,,,,,,,,,,,,,,,,,,
,"雲# clouds",,,,,,,,,,,,,,,,,,,,,,
,"暑い# hot weather",,,,,,,,,,,,,,,,,,,,,,
,"寒い# cold weather",,,,,,,,,,,,,,,,,,,,,,
,"暖かい# warm",,,,,,,,,,,,,,,,,,,,,,
,"涼しい# cool (weather)",,,,,,,,,,,,,,,,,,,,,,
,"蒸し暑い# humid",,,,,,,,,,,,,,,,,,,,,,
,"風# wind",,,,,,,,,,,,,,,,,,,,,,
,"吹く# to blow",,,,,,,,,,,,,,,,,,,,,,
,"台風# typhoon",,,,,,,,,,,,,,,,,,,,,,
,"照る# to shine",,,,,,,,,,,,,,,,,,,,,,
,"日差し# sunlight",,,,,,,,,,,,,,,,,,,,,,
,"にわか雨# showers",,,,,,,,,,,,,,,,,,,,,,
,"嵐# storm",,,,,,,,,,,,,,,,,,,,,,
,"日が照っているうちに洗濯物を干そう# Let’s put the laundry out to dry while the sum’s shining",,,,,,,,,,,,,,,,,,,,,,
,"今日は日差しが強なあ。日焼け止めを持ってくればよかった# The suns is really strong today, I should have brought some sunblock along",,,,,,,,,,,,,,,,,,,,,,
,"曇っているけど、雨は降らないそうです# It’s cloudy but it’s not going to rain apparently",,,,,,,,,,,,,,,,,,,,,,
,"にわか雨だたらすぐ止むよ# It juts just a shower, it’ll stop soon",,,,,,,,,,,,,,,,,,,,,,
,"もうすぐ嵐になるんじゃない# A storm is coming soon right?",,,,,,,,,,,,,,,,,,,,,,
,"積む# to pile up, to stack, to load, to pack",,,,,,,,,,,,,,,,,,,,,,
,"積もる# to pile up, to accumulate, to estimate ",,,,,,,,,,,,,,,,,,,,,,
,"天候# weather",,,,,,,,,,,,,,,,,,,,,,
,"気候# climate",,,,,,,,,,,,,,,,,,,,,,
,"気温# temperature",,,,,,,,,,,,,,,,,,,,,,
,"湿度# level of humidity",,,,,,,,,,,,,,,,,,,,,,
,"蒸し暑い# humid",,,,,,,,,,,,,,,,,,,,,,
,"予報# forecast",,,,,,,,,,,,,,,,,,,,,,
,"梅雨# rainy season",,,,,,,,,,,,,,,,,,,,,,
,"朝起きたら雪が積もってて、びっくりした# when I wake up this morning, I was shocked to see all the snow piled up",,,,,,,,,,,,,,,,,,,,,,
,"時刻は5時6分を回っております# the time has turned to 5:06",,,,,,,,,,,,,,,,,,,,,,
,"ここからはお天気情報をお知らせいたします# from here, we will let you know the weather forecast",,,,,,,,,,,,,,,,,,,,,,
,"現在、島原半島三市には、注意報は発表されておりません# There are no warnings issued for the three cities of Shimabara Peninsula at this time",,,,,,,,,,,,,,,,,,,,,,
,"警報# alarm, warning ",,,,,,,,,,,,,,,,,,,,,,
,"続きまして島原地方今日これからのお天気は曇り# the weather in Shimabara area will be cloudy from now on",,,,,,,,,,,,,,,,,,,,,,
,"現在の気温は23度、北の風、風速秒4メートルです# the current temperature is 23 degrees celsius with a north wind of 4 meters per hour",,,,,,,,,,,,,,,,,,,,,,
,"続きまして明日、7月18日土曜日から24日金曜日までの週間お天気です# Continuing on, the week’s weather from tomorrow, Saturday July 18th until Friday the 24th",,,,,,,,,,,,,,,,,,,,,,
,"明日は晴れ時々曇り# Tomorrow will be sunny and sometimes cloudy",,,,,,,,,,,,,,,,,,,,,,
,"予想最高気温29度# expected maximum temperature is 29 degrees celsius",,,,,,,,,,,,,,,,,,,,,,
,"最低気温21度# minimum temperature is 21 degrees celsius",,,,,,,,,,,,,,,,,,,,,,
,"降水確率10%# 10% chance of precipitation",,,,,,,,,,,,,,,,,,,,,,
,"明日は日差しが届いて# tomorrow the sunlight will return and..",,,,,,,,,,,,,,,,,,,,,,
,"夏を感じる暑さになりそうです# it's going to be hot, like summer!",,,,,,,,,,,,,,,,,,,,,,
,"猛暑日になる可能性もあります# there is the possibility that it will become an extremely hot day",,,,,,,,,,,,,,,,,,,,,,
,"こまめに水分を摂って# drink plenty of water",,,,,,,,,,,,,,,,,,,,,,
,"熱中症対策を心がけてください# Please take precautions against heat stroke",,,,,,,,,,,,,,,,,,,,,,
,"供給# supply, provision",,,,,,,,,,,,,,,,,,,,,,
,"水分補給しようね# supply yourself with water",,,,,,,,,,,,,,,,,,,,,,
,"補給# supply, supplying, replenishment​",,,,,,,,,,,,,,,,,,,,,,
,"台所# kitchen",,,,,,,,,,,,,,,,,,,,,,
,"電子レンジ# microwave",,,,,,,,,,,,,,,,,,,,,,
,"ガスレンジ# gas stove",,,,,,,,,,,,,,,,,,,,,,
,"冷蔵庫# refrigerator",,,,,,,,,,,,,,,,,,,,,,
,"水道# water supply",,,,,,,,,,,,,,,,,,,,,,
,"蛇口# faucet, tap",,,,,,,,,,,,,,,,,,,,,,
,"レバー# lever",,,,,,,,,,,,,,,,,,,,,,
,"流し# sink",,,,,,,,,,,,,,,,,,,,,,
,"やかん# kettle",,,,,,,,,,,,,,,,,,,,,,
,"鍋# saucepan, pot ",,,,,,,,,,,,,,,,,,,,,,
,"フライパン# fry pan",,,,,,,,,,,,,,,,,,,,,,
,"まな板# chopping board",,,,,,,,,,,,,,,,,,,,,,
,"麺棒# rolling pin",,,,,,,,,,,,,,,,,,,,,,
,"包丁# kitchen knife",,,,,,,,,,,,,,,,,,,,,,
,"炊飯器# rice cooker",,,,,,,,,,,,,,,,,,,,,,
,"水道の蛇口を捻る# turn on a tap",,,,,,,,,,,,,,,,,,,,,,
,"水が凍る# water freezes",,,,,,,,,,,,,,,,,,,,,,
,"氷になる# turn into ice",,,,,,,,,,,,,,,,,,,,,,
,"冷凍して保存する# freeze to store",,,,,,,,,,,,,,,,,,,,,,
,"残り物を温める# warm up left over food",,,,,,,,,,,,,,,,,,,,,,
,"ビールを冷やす# chill the beer",,,,,,,,,,,,,,,,,,,,,,
,"ビールが冷えている# the beer is chilled",,,,,,,,,,,,,,,,,,,,,,
,"鶏肉# chicken",,,,,,,,,,,,,,,,,,,,,,
,"豚肉# pork",,,,,,,,,,,,,,,,,,,,,,
,"牛肉# beef",,,,,,,,,,,,,,,,,,,,,,
,"海老# shrimp",,,,,,,,,,,,,,,,,,,,,,
,"かに# crab",,,,,,,,,,,,,,,,,,,,,,
,"野菜# vegetable",,,,,,,,,,,,,,,,,,,,,,
,"キャベジ# cabbage",,,,,,,,,,,,,,,,,,,,,,
,"人参# carrot",,,,,,,,,,,,,,,,,,,,,,
,"きゅうり# cucumber",,,,,,,,,,,,,,,,,,,,,,
,"ジャガイモ# potato",,,,,,,,,,,,,,,,,,,,,,
,"玉ねぎ# onion",,,,,,,,,,,,,,,,,,,,,,
,"ジンジャー # ginger",,,,,,,,,,,,,,,,,,,,,,
,"大蒜# garlic",,,,,,,,,,,,,,,,,,,,,,
,"調味料# condiments",,,,,,,,,,,,,,,,,,,,,,
,"醤油# soy sauce",,,,,,,,,,,,,,,,,,,,,,
,"酢# vinegar",,,,,,,,,,,,,,,,,,,,,,
,"胡椒# pepper",,,,,,,,,,,,,,,,,,,,,,
,"黒胡椒# black pepper",,,,,,,,,,,,,,,,,,,,,,
,"赤唐辛子# red pepper",,,,,,,,,,,,,,,,,,,,,,
,"砂糖# sugar",,,,,,,,,,,,,,,,,,,,,,
,"塩# salt",,,,,,,,,,,,,,,,,,,,,,
,"ソース# sauce",,,,,,,,,,,,,,,,,,,,,,
,"ケチャップ# ketchup",,,,,,,,,,,,,,,,,,,,,,
,"辛子# mustard",,,,,,,,,,,,,,,,,,,,,,
,"マヨネーズ# mayonnaise",,,,,,,,,,,,,,,,,,,,,,
,"サラダ油# salad oil",,,,,,,,,,,,,,,,,,,,,,
,"バター# butter",,,,,,,,,,,,,,,,,,,,,,
,"溶かしバター# melted butter",,,,,,,,,,,,,,,,,,,,,,
,"無塩バター# unsalted butter",,,,,,,,,,,,,,,,,,,,,,
,"有塩バター# salted butter",,,,,,,,,,,,,,,,,,,,,,
,"マーガリン# margarine",,,,,,,,,,,,,,,,,,,,,,
,"のり# seaweed",,,,,,,,,,,,,,,,,,,,,,
,"味噌# miso",,,,,,,,,,,,,,,,,,,,,,
,"材料# ingredients",,,,,,,,,,,,,,,,,,,,,,
,"粉# flour",,,,,,,,,,,,,,,,,,,,,,
,"薄力粉# rice flour",,,,,,,,,,,,,,,,,,,,,,
,"強力粉# bread flour",,,,,,,,,,,,,,,,,,,,,,
,"中力粉# all purpose flour",,,,,,,,,,,,,,,,,,,,,,
,"コンスターチ# constarch",,,,,,,,,,,,,,,,,,,,,,
,"片栗粉# potato starch",,,,,,,,,,,,,,,,,,,,,,
,"ベーキングパウダー# baking powder",,,,,,,,,,,,,,,,,,,,,,
,"イースト# yeast",,,,,,,,,,,,,,,,,,,,,,
,"卵# egg",,,,,,,,,,,,,,,,,,,,,,
,"卵白# egg white",,,,,,,,,,,,,,,,,,,,,,
,"卵黄# egg yolk ",,,,,,,,,,,,,,,,,,,,,,
,"生卵# raw egg",,,,,,,,,,,,,,,,,,,,,,
,"ゆで卵# boiled egg",,,,,,,,,,,,,,,,,,,,,,
,"月桂樹の葉# laurel leaves",,,,,,,,,,,,,,,,,,,,,,
,"だし# dashi (Japanese soup stock made from fish and kelp) ",,,,,,,,,,,,,,,,,,,,,,
,"かつお節# bonito flakes",,,,,,,,,,,,,,,,,,,,,,
,"煮干し# dried sardines",,,,,,,,,,,,,,,,,,,,,,
,"秤# weighing scale",,,,,,,,,,,,,,,,,,,,,,
,"計量カップ# measuring cup",,,,,,,,,,,,,,,,,,,,,,
,"計量スプーン# measuring spoon",,,,,,,,,,,,,,,,,,,,,,
,"小匙# tea spoon",,,,,,,,,,,,,,,,,,,,,,
,"中匙# meddle size the spoon",,,,,,,,,,,,,,,,,,,,,,
,"大匙# table spoon",,,,,,,,,,,,,,,,,,,,,,
,"カップ１杯# a cup of",,,,,,,,,,,,,,,,,,,,,,
,"半カップ# a half cup of",,,,,,,,,,,,,,,,,,,,,,
,"粉をふるう# sift the flour",,,,,,,,,,,,,,,,,,,,,,
,"バターを塗る# spread the butter",,,,,,,,,,,,,,,,,,,,,,
,"バターを溶かす# melt the butter",,,,,,,,,,,,,,,,,,,,,,
,"卵を泡立てる# wisk the eggs",,,,,,,,,,,,,,,,,,,,,,
,"クリームを泡立てる# whip the cream",,,,,,,,,,,,,,,,,,,,,,
,"よく混ぜる# mix well",,,,,,,,,,,,,,,,,,,,,,
,"軽く混ぜる# mix lightly",,,,,,,,,,,,,,,,,,,,,,
,"ざっくり混ぜる# mix roughly",,,,,,,,,,,,,,,,,,,,,,
,"ゆっくり混ぜる# mix slowly",,,,,,,,,,,,,,,,,,,,,,
,"手で混ぜる# mix by hands",,,,,,,,,,,,,,,,,,,,,,
,"野菜を洗う# wash the veggies",,,,,,,,,,,,,,,,,,,,,,
,"タマネギをむ# peen an onion",,,,,,,,,,,,,,,,,,,,,,
,"材料を刻む# chop the ingredients",,,,,,,,,,,,,,,,,,,,,,
,"大きめに切る# cut in large pieces",,,,,,,,,,,,,,,,,,,,,,
,"３センチ幅に切る# cut into 3cm pieces",,,,,,,,,,,,,,,,,,,,,,
,"水を切る# drain the water",,,,,,,,,,,,,,,,,,,,,,
,"30分置いておく# leave it for 30 minutes",,,,,,,,,,,,,,,,,,,,,,
,"野菜と肉を切る# cut vegetables and meat",,,,,,,,,,,,,,,,,,,,,,
,"肉、玉ねぎ、にんじん、ジャガイモをよく炒める# stir-fry the meat, onions, carrots and potatoes well",,,,,,,,,,,,,,,,,,,,,,
,"水を入れて# add water",,,,,,,,,,,,,,,,,,,,,,
,"肉が柔らかくなるまで# until the meat is tender",,,,,,,,,,,,,,,,,,,,,,
,"30分くらい煮る# simmer for about 30 minutes",,,,,,,,,,,,,,,,,,,,,,
,"火を止めて、カレールーを入れ# turn off the heat and add the curry roux",,,,,,,,,,,,,,,,,,,,,,
,"弱火でさらに30分くらい煮込む# simmer on a low heat for another 30 minutes",,,,,,,,,,,,,,,,,,,,,,
,"やかんでお湯沸かす# boil water in a kettle",,,,,,,,,,,,,,,,,,,,,,
,"鍋で野菜を煮る# cook the vegetables in a pot",,,,,,,,,,,,,,,,,,,,,,
,"鍋で肉を焼く# roast the meat in a pan",,,,,,,,,,,,,,,,,,,,,,
,"鍋に油を入れて熱し# Heat the oil in a pan",,,,,,,,,,,,,,,,,,,,,,
,"牛肉と玉ねぎを入れて炒める# add beef and onions and stir-fry",,,,,,,,,,,,,,,,,,,,,,
,"牛肉の色変わったら、ジャガイモを加えて炒める# when the beef has changed colour, add the potatoes and fry",,,,,,,,,,,,,,,,,,,,,,
,"2の鍋に水と調味料を全部入れ# put all the water and seasonings in 2 pots",,,,,,,,,,,,,,,,,,,,,,
,"ジャガイモが柔らかくなるまで煮る# cook until the potatoes are soft",,,,,,,,,,,,,,,,,,,,,,
,"お湯を沸かす# boil water",,,,,,,,,,,,,,,,,,,,,,
,"お湯が沸く# boiling water",,,,,,,,,,,,,,,,,,,,,,
,"お湯を冷ます# cool the water",,,,,,,,,,,,,,,,,,,,,,
,"お湯が冷める# the water gets cold",,,,,,,,,,,,,,,,,,,,,,
,"鍋を火にかける# place the pan on the fire",,,,,,,,,,,,,,,,,,,,,,
,"ご飯を炊く# cook rice",,,,,,,,,,,,,,,,,,,,,,
,"油を熱っする# heat the oil",,,,,,,,,,,,,,,,,,,,,,
,"油で揚げる# deep-fry in oil",,,,,,,,,,,,,,,,,,,,,,
,"煮る# to simmer, to stew",,,,,,,,,,,,,,,,,,,,,,
,"ゆでる# boil",,,,,,,,,,,,,,,,,,,,,,
,"炒める# stir fry",,,,,,,,,,,,,,,,,,,,,,
,"蒸す# steam",,,,,,,,,,,,,,,,,,,,,,
,"煎る# to roast",,,,,,,,,,,,,,,,,,,,,,
,"漬ける# to dip, soak",,,,,,,,,,,,,,,,,,,,,,
,"混ぜる# mix",,,,,,,,,,,,,,,,,,,,,,
,"移す# to transfer",,,,,,,,,,,,,,,,,,,,,,
,"焦げる# to be burn",,,,,,,,,,,,,,,,,,,,,,
,"焦がす# to burn, to scorch",,,,,,,,,,,,,,,,,,,,,,
,"ひっくり返す# turn over",,,,,,,,,,,,,,,,,,,,,,
,"裏返す# turn over",,,,,,,,,,,,,,,,,,,,,,
,"味をつける# add flavour, to season",,,,,,,,,,,,,,,,,,,,,,
,"塩を加える# add salt",,,,,,,,,,,,,,,,,,,,,,
,"故障を振る# sprinkle pepper",,,,,,,,,,,,,,,,,,,,,,
,"味見をする# taste",,,,,,,,,,,,,,,,,,,,,,
,"味を見る# taste",,,,,,,,,,,,,,,,,,,,,,
,"味が濃い# strong flavour",,,,,,,,,,,,,,,,,,,,,,
,"味が薄い# weak flavour",,,,,,,,,,,,,,,,,,,,,,
,"辛い# spicy",,,,,,,,,,,,,,,,,,,,,,
,"塩からい# salty",,,,,,,,,,,,,,,,,,,,,,
,"すっぱい# sour",,,,,,,,,,,,,,,,,,,,,,
,"出来上がる# be completed",,,,,,,,,,,,,,,,,,,,,,
,"出来上がり# finished",,,,,,,,,,,,,,,,,,,,,,
,"ラップを被せる# cover with plastic wrap",,,,,,,,,,,,,,,,,,,,,,
,"ラップをかける# cover with plastic wrap",,,,,,,,,,,,,,,,,,,,,,
,"ラップで包む# wrap in plastic wrap",,,,,,,,,,,,,,,,,,,,,,
,"ホイル# foil",,,,,,,,,,,,,,,,,,,,,,
,"まず# first",,,,,,,,,,,,,,,,,,,,,,
,"次に# next",,,,,,,,,,,,,,,,,,,,,,
,"すこずつ# little by little",,,,,,,,,,,,,,,,,,,,,,
,"それから# after that",,,,,,,,,,,,,,,,,,,,,,
,"そして# and then",,,,,,,,,,,,,,,,,,,,,,
,"最後に# lastly",,,,,,,,,,,,,,,,,,,,,,
,"適当# appropriate",,,,,,,,,,,,,,,,,,,,,,
,"分量# amount, quantity",,,,,,,,,,,,,,,,,,,,,,
,"初めに、つゆを作っておきます# first, make the sauce",,,,,,,,,,,,,,,,,,,,,,
,"鍋に醤油と味醂とダシを入れて沸騰させます# put soy sauce, mirin and broth in a pot and let it boil",,,,,,,,,,,,,,,,,,,,,,
,"みりんはスーパーで売っていますが# mirin is sold in supermarkets",,,,,,,,,,,,,,,,,,,,,,
,"ない場合はお酒と砂糖を使ってください# if not, use alcohol and sugar",,,,,,,,,,,,,,,,,,,,,,
,"次に、鍋に油を入れて熱しておきます# next, heat the oil in a pan",,,,,,,,,,,,,,,,,,,,,,
,"それから、野菜にころもをつけます# then, put a coating on the vegetables",,,,,,,,,,,,,,,,,,,,,,
,"ころもはボールに小麦粉と卵と水と入れて軽く混ぜておきます# for the coating, mix the flour, egg, and water in a bowl",,,,,,,,,,,,,,,,,,,,,,
,"野菜はどれもあらかじめ、薄く切るか、細長九期っておいてください# cut all the vegetables into thin slices or into long, thin strips in advance",,,,,,,,,,,,,,,,,,,,,,
,"そうしておくと、早く火が通ります# if you do, it will cook faster",,,,,,,,,,,,,,,,,,,,,,
,"ころもがついている野菜をしずかに油に入れます# gently place the vegetables with coating in the oil",,,,,,,,,,,,,,,,,,,,,,
,"はきめは鍋の底に沈んでいますが# at first, it sinks to the bottom of the pot",,,,,,,,,,,,,,,,,,,,,,
,"次第に油の上に浮かんできて# gradually in floats on the oil",,,,,,,,,,,,,,,,,,,,,,
,"色が薄茶色になってきます# the color will turn light brown",,,,,,,,,,,,,,,,,,,,,,
,"そうしたら、紙の上に取り出します# then take it out onto a piece of paper",,,,,,,,,,,,,,,,,,,,,,
,"味は付けてありませんから# since it is not seasoned",,,,,,,,,,,,,,,,,,,,,,
,"食べる時は作っておいたつゆにつけて食べてください# when you eat it, dip it in the sauce you have made",,,,,,,,,,,,,,,,,,,,,,
,"もも肉が美味しいよね# The thighs are delicious",,,,,,,,,,,,,,,,,,,,,,
,"鶏肉# chicken",,,,,,,,,,,,,,,,,,,,,,
,"たまご# egg",,,,,,,,,,,,,,,,,,,,,,
,"片栗粉# potato starch",,,,,,,,,,,,,,,,,,,,,,
,"小麦粉# wheat flour",,,,,,,,,,,,,,,,,,,,,,
,"小麦# wheat",,,,,,,,,,,,,,,,,,,,,,
,"料理酒# cooking sake ",,,,,,,,,,,,,,,,,,,,,,
,"醤油# soy sauce",,,,,,,,,,,,,,,,,,,,,,
,"ごま油#　 sesame oil",,,,,,,,,,,,,,,,,,,,,,
,"しょうがチューブ# ginger in tube",,,,,,,,,,,,,,,,,,,,,,
,"にんにくチュ ーブ# garlic in tube",,,,,,,,,,,,,,,,,,,,,,
,"以上が本日唐揚げに使っていく材料となります# these are the ingredients we will be using for the fried chicken today",,,,,,,,,,,,,,,,,,,,,,
,"そして今日はもう１品おつまみ作ります# and I'll make one more snack today",,,,,,,,,,,,,,,,,,,,,,
,"きゅうり# cucumber",,,,,,,,,,,,,,,,,,,,,,
,"一味唐辛子# cayenne pepper powder ",,,,,,,,,,,,,,,,,,,,,,
,"白だし# seasoning (white soup stock)",,,,,,,,,,,,,,,,,,,,,,
,"塩昆布# thin strips of kombu cooked in soy sauce, etc. then dried",,,,,,,,,,,,,,,,,,,,,,
,"まずきゅうりから# Start with the cucumbers",,,,,,,,,,,,,,,,,,,,,,
,"初めに袋を用意します# first, prepare the bag",,,,,,,,,,,,,,,,,,,,,,
,"きゅうりを下処理します# prep the cucumber, put down the cucumber and process/deal with it",,,,,,,,,,,,,,,,,,,,,,
,"袋中に入れて白だし、ごま油、にんにく、一味唐辛子、塩昆布# put in a bag and add white soup stock, sesame oil, garlic, chili pepper, and salted kelp",,,,,,,,,,,,,,,,,,,,,,
,"きゅうりと調味料たちを適量ずつ袋に入れる# Put the cucumbers and the seasonings in right amount in the bag",,,,,,,,,,,,,,,,,,,,,,
,"本当は棒があったらいいんですけど# I really wish I had a stick",,,,,,,,,,,,,,,,,,,,,,
,"ごま油の瓶でたたききゅうりにする# use the sesame oil bottle to hit the cucumber",,,,,,,,,,,,,,,,,,,,,,
,"叩き# finely chopped fish or meat, mince, hitting, beating",,,,,,,,,,,,,,,,,,,,,,
,"しばらく冷蔵庫に入れておきます# I'll leave it in the fridge for a while",,,,,,,,,,,,,,,,,,,,,,
,"そしたら次は唐揚げを漬けていきます# spicy",,,,,,,,,,,,,,,,,,,,,,
,"漬ける# to soak (in), to steep, to dip, to pickle, to preserve",,,,,,,,,,,,,,,,,,,,,,
,"鶏肉を一口サイズに切ります# cut the chicken into bite-sized pieces",,,,,,,,,,,,,,,,,,,,,,
,"材料をぶち込みます# throw in the ingredients",,,,,,,,,,,,,,,,,,,,,,
,"ぶち込む# to throw, to toss, to cast, to hit, to strike, to smash",,,,,,,,,,,,,,,,,,,,,,
,"よく揉んでおく# squeeze well",,,,,,,,,,,,,,,,,,,,,,
,"揉む# to rub, to crumple, to massage",,,,,,,,,,,,,,,,,,,,,,
