More,Categories,Time,Food,Home,Daily,Weather,Kitchen,Cooking,Supermarket,Health,Places,Transportation,Person,School,Nature,Interest,Work,Restaurant,Mastery,Adverbs,Verbs,Adjectives,Similars
"同時に# coincident with, while, simultaneously","半# half","半# half","卵# egg","椅子# chair","私は朝と夜に、歯を磨いています# I brush my teeth in the morning and at night","暑い# hot weather","ビールが冷えている# the beer is chilled","ソース# sauce","ポイとカードをお作りしましょうか# would you like to make a point card","かかと# heel","スーパー# supermarket","乗る# to ride, to board","大人しい人# obedient, docile, quiet person","授業# lesson, course","南極# south pole","ダンス# dance",,"お飲み物は何なさいますか# What would you like to drink?",,"どんな考え# What kind of thought?","電池を取り替える# to replace batteries","意外な方法# surprising method","様子# state, state of affairs, situation, circumstances, aspect, sign, indication"
"業態# business condition, line of business","午前# morning","午前# morning","ハム# ham","これをあそこの棚に置いてください# Please put this on the shelf over there","いつも8時ごろに家で出ます# I usually leave the house at around 8:00 o’clock","寒い# cold weather",,"ケチャップ# ketchup","はい、お願いします# yes, please","曲げる# bend","コンビニ# convenience store","降りる# to get off","だらしない人# sloppy, careless person","教える# to teach","北極# north pole","演奏する# to perform",,"コーヒーください# Coffee, please",,"やっと会えた# Met at last","入れ替える# to replace, to substitute","下らない本# worthless/stupid book","事情# circumstances, conditions, situation, reasons, state of affairs"
"独特# peculiarity, uniqueness, characteristic","午前中# in the morning","午前中# in the morning","ソーセージ# sausage","本棚# bookshelf","出かける時は、窓を閉めます# I close the windows when I go out","暖かい# warm",,"辛子# mustard","いいえ、けっこです# no, thank you","回す# to turn, rotate","~屋# shop","乗り換える# to transfer","冷たい人# coldhearted person","学ぶ# to learn","熱帯# tropics","楽器を弾く# play an instrument",,"いいえ、大丈夫# No, I'm fine",,"とうとう壊れた# Finally broke","申し込む# to apply","怪しい男# suspicious man","調子# condition, state of health, tune, tone, key, pitch, time, rhythm, way, manner"
"存在# existence, being","正午# noon","正午# noon","チーズ# cheese","あそこの丸いテーブルを使います# I'll use the round table over there","鍵# lock","涼しい# cool (weather)",,"マヨネーズ# mayonnaise","ポイントを利用になりますか# would you like to use you points?","伸ばす# to stretch","パン屋# bakery","乗り換え# transfer","細かい人# narrow-minded person","習う# to study","熱帯雨林# topical rain forest","音楽を聴く# to listen to music",,"この料理に卵は入っていますか# Do you have any eggs in this dish?",,"ついに完成した# It's finally done/complete","用紙に書き込む# to fill in the form","贅沢な生活# extravagant lifestyle","場合# case, situation "
"源流# source, origin of something continuous (language, culture, etc)","午後# afternoon","午後# afternoon","とうふ# tofu","ソファ# sofa","鍵をかける# to lock","蒸し暑い# humid",,"サラダ油# salad oil","レジ袋はご利用ですか# do you need a plastic bag","上げる# to raise","本屋# bookstore","乗り場# boarding gate, platform, terminal","意地悪な人# nasty, mean person","勉強する# to study","火山# volcano","コンサート# concert",,"アレルギーなので、卵抜きで作ってもらえますか# I'm allergic to eggs, can you make it without them?",,"なるべく早く# as soon as possible","荷物を押し込む# to stuff one’s belongings","満足な結果# satisfying result","具合# condition, state, health, state (of health), way, manner "
"麺# noodles","今日# today","今日# today","ご飯# cooked rice","ベッド# bed","鍵、かけてきた# Did you lock up?","風# wind",,"バター# butter","レジ袋は有料ですが、よろしでしょうか# there is a charge for plastic bag, Is that ok?","下げる# to lower","薬屋# drug store, pharmacy","ホーム# platform","素直な人# honest, obedient, meek person","入学する# admittance, enrollment","土# soil","ライブ# live",,"お飲み物はいつお待ちしましょうか# When would you like your drinks?",,"やっぱり負けた# Lost as expected","全部食べきる# to eat all","不満な結果# unsatisfactory result","場面# scene, setting, place, scenario, case"
"客観的# objective","明日# tomorrow","明日# tomorrow","ライス# rice","家電# appliance","ごみ# trash","吹く# to blow",,"溶かしバター# melted butter","別々の袋にお入れしましょうか# would you like me to put in separate bags","よく眠る# sleep well","花屋# flourist","番線# track number","正直な人# honest, frank, candid, straightforward person","卒業する# graduation","砂漠# desert","美術館# art museum",,"先にお願いします# Before the meal, please",,"意外に軽い# Surprisingly light","使いきる# to use up","不安な日々# uneasy days","指数# index, index number, exponent"
"客観的に見て# looking objectively","明後日# the day after tomorrow","明後日# the day after tomorrow","みそ汁# miso soup",,"ごみを出す# take out the trash","台風# typhoon",,"無塩バター# unsalted butter","袋はお分けしましょうか# In separate bags?","ゆっくり休む# rest well","電気店# electric goos store","切符# ticket","乱暴な人# violent, rough person","研究する# research","岸# shore, bank","博物館# museum",,"一緒にお願いします# With the meal, please",,"とにかく急ぐ# just hurry, anyhow hurry","数えきれない# to be countless","恐ろしい事件# frightening incident","索引# index (in a book), index (publishing) "
"客観的に見ても# even if you look at it objectively","昨日# yesterday","昨日# yesterday","うどん# udon, wheat noodles",,"出かける時にゴミを出してくれない# Could you take out the trash when you leave?","照る# to shine",,"有塩バター# salted butter","お箸はおつけいたしますか# would you like some chopsticks?","昼寝する# to take a nap, siesta","不動産屋# real estate agent","チケット# ticket","わがままな人# selfish, egoistic person","クラス# class","谷# valley","本# book",,"食後にお願いします# After the meal, please",,"ぜひ会いたい# really want to meet","食べ始める# to start eating","羨ましい# envious","指標# index, indices, indicator "
"来々軒# Rairaiken","一昨日# the day before yesterday","一昨日# the day before yesterday","そば# soba, buckwheat noodles",,"掃除# cleaning","日差し# sunlight",,"マーガリン# margarine","お箸は何膳おつけしますか# how many chopsticks do you need?","食事する# to have a meal","店# shop, store","改札# gate","積極的な人# proactive person","教育する# education","滝# waterfall","映画# movie, film",,"以上です# That's all",,"もちろん# of course","習い始める# to start learning","負けて悔しい# It's frustrating to lose","目録# catalogue, catalog, inventory, index, list "
