Expression,Reading,Meaning
そうして; そして,そうして; そして,"and, like that"
そこ,そこ,"that place, there; bottom, sole"
そちら,そちら,over there
そっち,そっち,over there
外,そと,"outside, exterior"
その,その,that
そば,そば,"near, close, beside; buckwheat noodle"
空,そら,sky
それ,それ,that one
それから,それから,"and then, after that"
それでは,それでは,"in that situation, well then..."
～台,～だい,counter for vehicles; machines
大学,だいがく,college; university
大使館,たいしかん,embassy
大丈夫,だいじょうぶ,It's ok (all right); No need to worry
大好き,だいすき,"very like-able, like very much"
大切,たいせつ,important
台所,だいどころ,kitchen
大変,たいへん,"very; difficult, hard"
高い,たかい,"tall, high; expensive"
～だけ,～だけ,"only ~, just ~, as ~"
沢山,たくさん,"many, much"
タクシー,タクシー,taxi
出す,だす,to take (something) out; to hand in (something)
～たち,～たち,plural suffix
立つ,たつ,to stand up
たて,たて,"length, height"
建物,たてもの,building
楽しい,たのしい,"enjoyable, fun"
頼む,たのむ,"to request, to ask (a favor)"
たばこ,たばこ,"tobacco, cigarettes"
多分,たぶん,"perhaps, probably, maybe"
食べ物,たべもの,food
食べる,たべる,to eat
卵,たまご,egg
誰,だれ,who
誰か,だれか,someone
誕生日,たんじょうび,birthday
段々,だんだん,"gradually, by degrees"
小さい,ちいさい,"small, little"
小さな,ちいさな,"small, little"
近い,ちかい,"near, close by, short"
違う,ちがう,to be different; to differ; wrong
近く,ちかく,nearby; in the neighborhood
地下鉄,ちかてつ,"underground train, subway"
地図,ちず,a map
父,ちち,(my) father
茶色,ちゃいろ,brown
茶碗,ちゃわん,rice bowl
～中,～ちゅう,"during, while ~ing"
丁度,ちょうど,"just, right, exactly"
ちょっと,ちょっと,"a little, somewhat; just a little, somewhat"
一日,ついたち,one day; first day of the month
使う,つかう,to use
疲れる,つかれる,to get (become) tired; to become fatigued
次,つぎ,next
着く,つく,"to arrive at, to reach"
机,つくえ,desk
作る,つくる,"to make, to create"
つける,つける,to turn on (a light); to take
勤める,つとめる,to work (for)
つまらない,つまらない,"boring, dull; insignificant"
冷たい,つめたい,"cold (things, people)"
強い,つよい,"strong, powerful"
手,て,hand
テープ,テープ,tape
テープレコーダー,テープレコーダー,tape recorder
テーブル,テーブル,table
出かける,でかける,to go out; to depart
手紙,てがみ,letter
できる,できる,to be able to (to accomplish)
出口,でぐち,an exit
テスト,テスト,test
では,では,"then, well, so"
デパート,デパート,(abbr.) department store
でも,でも,"but, however"
出る,でる,"to appear, to leave"
テレビ,テレビ,"television, TV"
天気,てんき,weather
電気,でんき,"electricity, (electric) light"
電車,でんしゃ,electric train
電話,でんわ,a telephone
戸,と,door (Japanese style)
～度,～ど,counter for occurrences;  degree;  point
ドア,ドア,door (Western style)
トイレ,トイレ,bathroom; toilet
どう,どう,"how, in what way"
どうして,どうして,"why, for what reason"
どうぞ,どうぞ,"please, kindly, by all means"
動物,どうぶつ,animal
どうも,どうも,thank you
十,(〜を) とお,ten (~)
遠い,とおい,"far (away), distant"
十日,とおか,ten days; tenth day of the month
～時,～とき,at the time of ~
時々,ときどき,sometimes
時計,とけい,a watch; a clock
どこ,どこ,"where, what place"
所,ところ,place
年,とし,"year, age"
図書館,としょかん,library
どちら,どちら,which (one) (way); where (polite)
どっち,どっち,"which one, which way"
とても,とても,"very (much), greatly, exceedingly"
どなた,どなた,who
隣,となり,"next to, next door to"
どの,どの,which
飛ぶ,とぶ,"to fly, to hop"
止まる,とまる,to come to a halt
友達,ともだち,friend
土曜日,どようび,Saturday
鳥,とり,"chicken (lit., bird)"
鶏肉,とりにく,chicken meat
取る,とる,to take (a class); to get (a grade)
撮る,とる,"to take (a photo), to make (a film)"
どれ,どれ,which one
どんな,どんな,"what, what kind of"
ない,ない,"there isn't, doesn't have"
ナイフ,ナイフ,knife
中,なか,"inside, middle, among"
長い,ながい,"long, lengthy"
鳴く,なく,to make sound (animal)
無くす,なくす,to lose something
なぜ,なぜ,why (same as どうして)
夏,なつ,summer
夏休み,なつやすみ,summer vacation
～など,～など,et cetera
七つ,ななつ,seven things
何,なん; なに,what
七日,なのか,seven days; seventh day (of the month)
名前,なまえ,name
習う,ならう,to learn
並ぶ,ならぶ,"to line up, to stand in a line (v.i.)"
