Orig,Reading,Verbs,Meaning
たとえる【例える】,たとえる,例える,"to compare, to liken, to speak figuratively, to illustrate, to use a simile"
ちがえる【違える】,ちがえる,違える,to change
つかえる【仕える】,つかえる,仕える,"to serve, to work for"
つたえる【伝える】,つたえる,伝える,to report
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
おどろかす【驚かす】,おどろかす,驚かす,"to surprise, to frighten, to create a stir"
あつらえる【誂える】,あつらえる,誂える,"to give an order, to place an order"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
であう【出会う】,であう,出会う,"to meet by chance, to come across, to happen to encounter"
であう【出合う】,であう,出合う,"to meet by chance, to come across, to happen to encounter, to hold a rendezvous, to have a date"
にあう【似合う】,にあう,似合う,"to suit, to match, to become, to be like"
せおう【背負う】,せおう,背負う,"to be burdened with, to carry on back or shoulder"
しまう【仕舞う】,しまう,仕舞う,"to finish, to close, to do something completely, to put away, to put an end to"
みまう【見舞う】,みまう,見舞う,"to ask after (health), to visit"
もがく【藻掻く】,もがく,藻掻く,"to struggle, to wriggle, to be impatient"
きづく【気付く】,きづく,気付く,"to notice, to recognize, to become aware of"
めざす【目指す】,めざす,目指す,"to aim at, to have an eye on"
めだつ【目立つ】,めだつ,目立つ,"to be conspicuous, to stand out"
しきる【仕切る】,しきる,仕切る,"to partition, to divide, to mark off, to settle accounts, to toe the mark"
できる【出切る】,できる,出切る,"to be out of, to have no more at hand"
くぎる【区切る】,くぎる,区切る,"to punctuate, to cut off, to mark off, to stop, to put an end to "
しける【湿気る】,しける,湿気る,"to be damp, to be moist"
ねだる【強請る】,ねだる,強請る,"te tease, to coax, to solicit, to demand"
どなる【怒鳴る】,どなる,怒鳴る,"to shout, to yell"
まねる【真似る】,まねる,真似る,"to mimic, to imitate"
いばる【威張る】,いばる,威張る,"to be proud, to swagger"
はやる【流行る】,はやる,流行る,"to flourish, to thrive, to be popular, to come into fashion"
つきあう【付合う】,つきあう,付合う,"to associate with, to keep company with, to get on with"
からかう【揶揄う】,からかう,揶揄う,"to ridicule, to tease, to banter with, to make fun of"
まちがう【間違う】,まちがう,間違う,"to make a mistake, to be incorrect, to be mistaken"
てつだう【手伝う】,てつだう,手伝う,to assist
ふるまう【振舞う】,ふるまう,振舞う,"to behave, to conduct oneself, to entertain (vt)"
にかよう【似通う】,にかよう,似通う,to resemble closely
しはらう【支払う】,しはらう,支払う,to pay
ためらう【躊躇う】,ためらう,躊躇う,to hesitate
おちつく【落着く】,おちつく,落着く,"to calm down, to settle down"
きずつく【傷付く】,きずつく,傷付く,"to be hurt, to be wounded, to get injured"
かたづく【片付く】,かたづく,片付く,"to put in order, to dispose of, to solve"
ちかづく【近付く】,ちかづく,近付く,"to approach, to get near, to get acquainted with, to get closer"
ながびく【長引く】,ながびく,長引く,"to be prolonged, to drag on"
ばらまく【散蒔く】,ばらまく,散蒔く,"to disseminate, yo scatter, to give money freely"
みなおす【見直す】,みなおす,見直す,"to look again, to get a better opinion of"
みのがす【見逃す】,みのがす,見逃す,"to miss, to overlook, to leave at large"
ゆびさす【指差す】,ゆびさす,指差す,to point at
みわたす【見渡す】,みわたす,見渡す,"to look out over, to survey (scene), to take an extensive view of "
ひきだす【引出す】,ひきだす,引出す,"to pull out, to take out, to draw out, to withdraw"
やくだつ【役立つ】,やくだつ,役立つ,"to be useful, to be helpful, to serve the purpose"
ほほえむ【微笑む】,ほほえむ,微笑む,to smile
うらぎる【裏切る】,うらぎる,裏切る,"to betray, to turn traitor to, to double-cross"
よこぎる【横切る】,よこぎる,横切る,"to cross (e.g. arms), to traverse"
みおくる【見送る】,みおくる,見送る,"(1) to see off, to farewell,(2) to escort,(3) to let pass"
きかざる【着飾る】,きかざる,着飾る,to dress up
かさばる【嵩張る】,かさばる,嵩張る,"to be bulky, to be unwieldy, to grow voluminous "
かたよる【片寄る】,かたよる,片寄る,"to be one-sided, to incline, to be partial"
ちかよる【近寄る】,ちかよる,近寄る,"to approach, to draw near"
しゃれる【洒落る】,しゃれる,洒落る,"to joke, to play on words, to dress stylishly"
ひきかえす【引返す】,ひきかえす,引返す,"to repeat, to send back, to bring back "
うらがえす【裏返す】,うらがえす,裏返す,"to turn inside out, to turn (something) over"
こころえる【心得る】,こころえる,心得る,"to be informed, to have thorough knowledge"
ひきうける【引受る】,ひきうける,引受る,"to undertake, to take up, to take over"
ものがたる【物語る】,ものがたる,物語る,"to tell, to indicate"
さかのぼる【逆上る】,さかのぼる,逆上る,"to go back, to go upstream, to make retroactive"
うわまわる【上回る】,うわまわる,上回る,to exceed
みおとす【見落とす】,みおとす,見落とす,"to overlook, to fail to notice"
けとばす【蹴飛ばす】,けとばす,蹴飛ばす,"to kick away, to kick off, to kick (someone), to refuse, to reject"
みおろす【見下ろす】,みおろす,見下ろす,"to overlook, to command a view of, to look down on something"
とだえる【途絶える】,とだえる,途絶える,"to stop, to cease, to come to an end"
みつかる【見付かる】,みつかる,見付かる,"to be found, to be discovered"
しあがる【仕上がる】,しあがる,仕上がる,to be finished
ぶつける【打付ける】,ぶつける,打付ける,"to knock, to run into, to nail on, to strike hard, to hit and attack"
しかける【仕掛ける】,しかける,仕掛ける,"to commence, to lay (mines), to set (traps), to wage (war), to challenge"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
つきあう【付き合う】,つきあう,付き合う,"to associate with, to keep company with, to get on with"
つりあう【釣り合う】,つりあう,釣り合う,"to balance, to be in harmony, to suit "
まにあう【間に合う】,まにあう,間に合う,to be in time for
ひっかく【引っ掻く】,ひっかく,引っ掻く,to scratch
おいつく【追い付く】,おいつく,追い付く,"to overtake, to catchup (with)"
うけつぐ【受け継ぐ】,うけつぐ,受け継ぐ,"to inherit, to succeed, to take over"
とりつぐ【取り次ぐ】,とりつぐ,取り次ぐ,"to act as an agent for, to announce (someone), to convey (a message)"
さしひく【差し引く】,さしひく,差し引く,to deduct
とりまく【取り巻く】,とりまく,取り巻く,"to surround, to circle, to enclose"
いいだす【言い出す】,いいだす,言い出す,"to start talking to speak, to tell, to propose, to suggest, to break the ice "
うりだす【売り出す】,うりだす,売り出す,"to put on sale, to market, to become popular"
