Orig,Reading,Verbs,Meaning
だす【出す】,だす,出す,"to put out, to take out, to get out, to show, to submit, to publish, to send"
なす【為す】,なす,為す,"to accomplish, to do, to build up, to establish, to form"
ほす【干す】,ほす,干す,"to air, to dry, to desiccate, to drain (off), to drink up "
ます【増す】,ます,増す,"to increase, to grow"
むす【蒸す】,むす,蒸す,"to steam, to poultice, to be sultry "
めす【召す】,めす,召す,"to call, to send for, to put on, to wear, to take (a bath), to ride in, to buy, to eat, to drink"
よす【止す】,よす,止す,"to cease, to abolish, to resign, to give up "
うつ【打つ】,うつ,打つ,to hit
うつ【撃つ】,うつ,撃つ,"to attack, to defeat, to destroy "
うつ【討つ】,うつ,討つ,"to attack, to avenge"
かつ【勝つ】,かつ,勝つ,to win
たつ【立つ】,たつ,立つ,to stand
たつ【経つ】,たつ,経つ,"to pass, to lapse"
たつ【建つ】,たつ,建つ,"to erect, to be erected, to be built "
たつ【発つ】,たつ,発つ,"to depart (on a plane, train, etc.) "
たつ【絶つ】,たつ,絶つ,"to sever, to cut off, to suppress, to abstain (from) "
ぶつ【打つ】,ぶつ,打つ,"to hit, to strike"
まつ【待つ】,まつ,待つ,to wait
もつ【持つ】,もつ,持つ,to hold
しぬ【死ぬ】,しぬ,死ぬ,to die
とぶ【飛ぶ】,とぶ,飛ぶ,"to fly, to hop"
とぶ【跳ぶ】,とぶ,跳ぶ,"to jump, to fly, to leap"
よぶ【呼ぶ】,よぶ,呼ぶ,"to call out, to invite"
あむ【編む】,あむ,編む,to knit
うむ【産む】,うむ,産む,"to give birth, to deliver, to produce "
かむ【噛む】,かむ,噛む,"to bite, to chew"
くむ【組む】,くむ,組む,to put together
くむ【汲む】,くむ,汲む,"(1) to draw (water), to dip, to scoop, to pump"
くむ【酌む】,くむ,酌む,to serve sake
こむ【込む】,こむ,込む,to include
こむ【混む】,こむ,混む,to be crowded
すむ【住む】,すむ,住む,to live in
すむ【済む】,すむ,済む,to finish
すむ【澄む】,すむ,澄む,"to clear (e.g. weather), to become transparent"
つむ【積む】,つむ,積む,"to pile up, to stack"
とむ【富む】,とむ,富む,"to be rich, to become rich"
のむ【飲む】,のむ,飲む,to drink
ふむ【踏む】,ふむ,踏む,to step on
もむ【揉む】,もむ,揉む,"to rub, to crumple (up), to wrinkle "
やむ【止む】,やむ,止む,to stop
やむ【病む】,やむ,病む,"to fall ill, to be ill"
よむ【読む】,よむ,読む,to read
ある【有る】,ある,有る,"to be, to have(used for inanimate objects)"
ある【在る】,ある,在る,"to live, to be"
いる【居る】,いる,居る,"to be, to have (used for people and animals)"
いる【要る】,いる,要る,to need
いる【煎る】,いる,煎る,"to parch, to fry"
いる【炒る】,いる,炒る,"to roast, to parch, to toast, to boil down​"
いる【入る】,いる,入る,"to get in, to go in, to come in, to flow into, to set, to set in "
うる【売る】,うる,売る,to sell
うる【得る】,うる,得る,"to get, to gain, to win"
える【得る】,える,得る,"to get, to gain, to win"
おる【折る】,おる,折る,to break or to fold
おる【居る】,おる,居る,"to be (animate), to be, to exist "
おる【織る】,おる,織る,to weave
かる【刈る】,かる,刈る,"to cut (hair), to mow (grass), to harvest"
きる【切る】,きる,切る,to cut
きる【着る】,きる,着る,to put on from the shoulders down 
くる【来る】,くる,来る,to come
ける【蹴る】,ける,蹴る,to kick
さる【去る】,さる,去る,"to leave, to go away"
しる【知る】,しる,知る,to know
する【為る】,する,為る,to do
なす【為す】,なす,為す,to print
する【剃る】,する,剃る,to shave
そる【剃る】,そる,剃る,to shave
ちる【散る】,ちる,散る,"to fall, to scatter (e.g.blossoms)"
つる【釣る】,つる,釣る,to fish
つる【吊る】,つる,吊る,to hang
てる【照る】,てる,照る,to shine
でる【出る】,でる,出る,"to appear, to leave"
とる【取る】,とる,取る,to take something
とる【撮る】,とる,撮る,to take a photo or record a film 
とる【採る】,とる,採る,"(1) to adopt (measure, proposal), (2) to pick (fruit)"
とる【捕る】,とる,捕る,"to take, to catch (fish), to capture "
なる【鳴る】,なる,鳴る,to sound
なる【為る】,なる,為る,"to change, to be of use, to reach to "
なる【成る】,なる,成る,to become
なる【生る】,なる,生る,to bear fruit
にる【似る】,にる,似る,to be similar
にる【煮る】,にる,煮る,"to boil, to cook, to simmer, to stew"
ぬる【塗る】,ぬる,塗る,"to paint, to colour, to plaster "
ねる【寝る】,ねる,寝る,"to go to bed, to sleep"
ねる【練る】,ねる,練る,"to knead, to work over, to polish up "
のる【乗る】,のる,乗る,"to get on, to ride"
のる【載る】,のる,載る,"to appear (in print), to be recorded "
はる【貼る】,はる,貼る,to stick
はる【張る】,はる,張る,"to stick, to paste, to affix"
ふる【降る】,ふる,降る,"to fall, e.g. rain or snow"
ふる【振る】,ふる,振る,"(1) to wave, to shake, to swing,(2) to sprinkle,(3) to cast (actor), to allocate (work)"
へる【減る】,へる,減る,"to decrease (in size or number), to diminish, to abate "
へる【経る】,へる,経る,"to pass, to elapse, to experience "
ほる【掘る】,ほる,掘る,"to dig, to excavate"
ほる【彫る】,ほる,彫る,"to carve, to engrave, to sculpture, to chisel"
みる【観る】,みる,観る,"to see, to watch"
みる【見る】,みる,見る,"to see, to watch"
みる【診る】,みる,診る,to examine (medical)
もる【盛る】,もる,盛る,"(1) to serve (food, etc.),(2) to fill up,(3) to prescribe "
もる【漏る】,もる,漏る,"to leak, to run out"
よる【寄る】,よる,寄る,to visit
よる【因る】,よる,因る,"to be based on, to come from, to be due to, be caused by, to depend on"
やる【遣る】,やる,遣る,"to do, to have sexual intercourse, to kill, to give inferiors animals etc.), to dispatch"
わる【割る】,わる,割る,"to divide, to cut, to break, to halve "
おおう【覆う】,おおう,覆う,"to cover, to hide, to conceal, to wrap, to disguise "
におう【匂う】,におう,匂う,"to be fragrant, to smell, to stink "
ちかう【誓う】,ちかう,誓う,"to swear, to vow, to take an oath, to pledge "
つかう【使う】,つかう,使う,to use
ちがう【違う】,ちがう,違う,to differ
ねがう【願う】,ねがう,願う,"to desire, to wish, to request "
すくう【救う】,すくう,救う,"to rescue from, to help out of "
すくう【掬う】,すくう,掬う,"to scoop, to ladle out"
おそう【襲う】,おそう,襲う,to attack
