Orig,Verbs,Reading,Meaning
おごる【傲る】,傲る,おごる,to be proud
こごる【凝る】,凝る,こごる,"to congeal, to freeze"
にごる【濁る】,濁る,にごる,"to become muddy, to get impure "
くさる【腐る】,腐る,くさる,"to rot, to go bad"
まさる【勝る】,勝る,まさる,"to excel, to surpass, to outrival "
かざる【飾る】,飾る,かざる,to decorate
はしる【走る】,走る,はしる,to run
むしる【毟る】,毟る,むしる,"to pluck, to pick, to tear "
いじる【弄る】,弄る,いじる,"to touch, to tamper with"
かじる【噛る】,噛る,かじる,"to chew, to bite (at), to gnaw, to nibble, to munch, to crunch"
なじる【詰る】,詰る,なじる,"to rebuke, to scold, to tell off"
ねじる【捩る】,捩る,ねじる,to twist
かする【擦る】,擦る,かする,"to touch lightly, to take a percentage (from)"
こする【擦る】,擦る,こする,"to rub, to chafe, to file, to frost (glass), to strike (match)"
けずる【削る】,削る,けずる,"to cut down little by little, to take percentage"
ゆずる【譲る】,譲る,ゆずる,"to turn over, to assign, to hand over"
あせる【焦る】,焦る,あせる,"to be in a hurry, to be impatient"
いたる【至る】,至る,いたる,"to come, to arrive"
かたる【語る】,語る,かたる,"to talk, to tell, to recite"
きたる【来る】,来る,きたる,"to come, to arrive, to due to, to be next, to be forthcoming"
わたる【渡る】,渡る,わたる,to go across
くだる【下る】,下る,くだる,"to get down, to descend"
うつる【移る】,移る,うつる,to move house or transfer
うつる【写る】,写る,うつる,"to be photographed, to be projected"
うつる【映る】,映る,うつる,"to be reflected, to harmonise with, to come out (photo)"
まつる【祭る】,祭る,まつる,"to deify, to enshrine"
おとる【劣る】,劣る,おとる,"to fall behind, to be inferior to"
さとる【悟る】,悟る,さとる,"to attain enlightenment, to perceive, to understand, to discern"
ふとる【太る】,太る,ふとる,to become fat
おどる【踊る】,踊る,おどる,to dance
たどる【辿る】,辿る,たどる,"to follow (road), to pursue (course), to follow up"
もどる【戻る】,戻る,もどる,to turn back
うなる【唸る】,唸る,うなる,"to groan, to moan, to roar, to howl, to growl, to hum, to buzz, to sough "
つねる【抓る】,抓る,つねる,to pinch
ひねる【捻る】,捻る,ひねる,"to turn (a switch) on or off, to twist, to puzzle over"
いのる【祈る】,祈る,いのる,to pray
つのる【募る】,募る,つのる,"to invite, to solicit help participation etc "
みのる【実る】,実る,みのる,"to bear fruit, to ripen"
くばる【配る】,配る,くばる,"to distribute, to deliver"
しばる【縛る】,縛る,しばる,"to tie, to bind"
ねばる【粘る】,粘る,ねばる,"to be sticky, to be adhesive, to persevere, to persist, to stick to "
あぶる【炙る】,炙る,あぶる,to scorch
かぶる【被る】,被る,かぶる,"to put on , wear, cover (one’s) head"
つぶる【瞑る】,瞑る,つぶる,to close the eyes
やぶる【破る】,破る,やぶる,"o tear, to violate, to defeat, to smash, to destroy"
すべる【滑る】,滑る,すべる,"to slide, to slip"
しぼる【絞る】,絞る,しぼる,"to press, to wring, to squeeze "
のぼる【登る】,登る,のぼる,to climb
のぼる【昇る】,昇る,のぼる,"to arise, to ascend, to go up"
のぼる【上る】,上る,のぼる,"to ascend, to go up, to climb"
あまる【余る】,余る,あまる,"to remain, to be left over, to be in excess, to be too many"
こまる【困る】,困る,こまる,to be worried
せまる【迫る】,迫る,せまる,"to draw near, to press"
だまる【黙る】,黙る,だまる,to be silent
なまる【鈍る】,鈍る,なまる,"to become less capable, to grow dull, to become blunt, to weaken"
けむる【煙る】,煙る,けむる,to smoke (e.g. fire)
ねむる【眠る】,眠る,ねむる,to sleep
しめる【湿る】,湿る,しめる,"to be wet, to become wet, to be dump"
こもる【篭る】,篭る,こもる,"to seclude oneself, to be confined in, to be implied, to be stuffy"
まもる【守る】,守る,まもる,"to protect, to obey, to guard, to abide (by the rules)"
くもる【曇る】,曇る,くもる,"to become cloudy, to become dim"
たよる【頼る】,頼る,たよる,"to rely on, to have recourse to, to depend on "
さわる【触る】,触る,さわる,to touch
さわる【障る】,障る,さわる,"to hinder, to interfere with, to affect, to do one harm, to be harmful to"
すわる【座る】,座る,すわる,to sit
まわる【回る】,回る,まわる,to go around
よわる【弱る】 ,弱る,よわる,"to weaken, to be troubled, to be downcast, to be emaciated, to be dejected, to be perplexed, to impair"
すれちがう【すれ違う】,すれ違う,すれちがう,"to pass by one another, to disagree, to miss each other"
あざわらう【あざ笑う】,あざ笑う,あざわらう,"to sneer at, to ridicule "
うるおう【潤う】,潤う,うるおう,"to be moist, to be damp, to get wet, to profit by, to be watered, to receive benefits, to favor, to charm "
たたかう【戦う】,戦う,たたかう,"to fight, to battle, to combat"
あつかう【扱う】,扱う,あつかう,"to handle, to deal with, to treat"
うたがう【疑う】,疑う,うたがう,"to doubt, to distrust, to be suspicious of, to suspect "
したがう【従う】,従う,したがう,"o abide (by the rules), to obey, to follow, to accompany"
あらそう【争う】,争う,あらそう,"to dispute, to argue, to be at variance, to compete"
まかなう【賄う】,賄う,まかなう,"to give board to, to provide meals, to pay"
おぎなう【補う】,補う,おぎなう,to compensate for
おこなう【行う】,行う,おこなう,to do
うしなう【失う】,失う,うしなう,"to lose, to part with"
やしなう【養う】,養う,やしなう,"to rear, to maintain, to cultivate"
ともなう【伴う】,伴う,ともなう,"to accompany, to bring with, to be accompanied by, to be involved in"
うらなう【占う】,占う,うらなう,"to forecast, to predict"
ととのう【整う】,整う,ととのう,"to be prepared, to be in order, to be put in order, to be arranged"
うやまう【敬う】,敬う,うやまう,"to show respect, to honour"
ただよう【漂う】,漂う,ただよう,"to drift about, to float, to hang in air"
つくろう【繕う】,繕う,つくろう,"to mend, to repair, to fix, to patch up, to darn, to tidy up, to adjust, to trim "
つまずく【躓く】,躓く,つまずく,"to stumble, to trip"
しりぞく【退く】,退く,しりぞく,"to retreat, to recede, to withdraw"
いただく【頂く】,頂く,いただく,"to receive, to take food or drink"
つらぬく【貫く】,貫く,つらぬく,to go through
みちびく【導く】,導く,みちびく,"to be guided, to be shown"
かたぶく【傾く】,傾く,かたぶく,"to incline toward, to slant, to lurch, to heel over, to be disposed to, to trend toward, to be prone to"
あざむく【欺く】,欺く,あざむく,to deceive
おもむく【赴く】,赴く,おもむく,"to go, to proceed, to repair to, to become"
かたむく【傾く】,傾く,かたむく,"to incline toward, to slant, to lurch "
かがやく【輝く】,輝く,かがやく,"to shine, to glitter, to sparkle"
ささやく【囁く】,囁く,ささやく,"to whisper, to murmur "
つぶやく【呟く】,呟く,つぶやく,"to mutter, to murmur"
はたらく【働く】,働く,はたらく,to work
おどろく【驚く】,驚く,おどろく,to be surprised
もよおす【催す】,催す,もよおす,"to hold (a meeting), to give (a dinner), to feel, to show signs of, to develop symptoms of, to feel (sick)"
うながす【促す】,促す,うながす,"to urge, to press, to suggest, to demand, to stimulate, to quicken, to incite, to invite (attention to)"
ほどこす【施す】,施す,ほどこす,"to donate, to give, to conduct, to apply, to perform"
あらわす【表す】,表す,あらわす,"to express, to show, to reveal"
あらわす【現す】,現す,あらわす,"to show, to indicate, to display"
あらわす【著す】,著す,あらわす,"to write, to publish"
たがやす【耕す】,耕す,たがやす,"to till, to plow, to cultivate "
たのしむ【楽む】,楽む,たのしむ,to enjoy oneself 
つつしむ【慎む】,慎む,つつしむ,"to be careful, to be chaste or discreet, to abstain or refrain"
いとなむ【営む】,営む,いとなむ,"to carry on (e.g. in ceremony), to run a business"
うらやむ【羨む】,羨む,うらやむ,to envy
よろこぶ【喜ぶ】,喜ぶ,よろこぶ,to be delighted
たっとぶ【尊ぶ】,尊ぶ,たっとぶ,"to value, to prize, to esteem"
さえぎる【遮る】,遮る,さえぎる,"to interrupt, to intercept, to obstruct"
ののしる【罵る】,罵る,ののしる,"to speak ill of, to abuse"
さえずる【囀る】,囀る,さえずる,"to sing, to chirp, to twitter"
おこたる【怠る】,怠る,おこたる,"to neglect, to be off guard, to be feeling better"
あやつる【操る】,操る,あやつる,"to manipulate, to operate, to pull strings"
はかどる【捗る】,捗る,はかどる,"to make progress, to move right ahead (with the work), to advance"
しゃべる【喋る】,喋る,しゃべる,"to talk, to chat, to chatter "
あやまる【謝る】,謝る,あやまる,to apologize
あやまる【誤る】,誤る,あやまる,to make a mistake
ほうむる【葬る】,葬る,ほうむる,"to bury, to inter, to entomb, to consign to oblivion, to shelve "
かたよる【偏る】,偏る,かたよる,"to be one-sided, to incline, to be partial, to be prejudiced, to lean, to be biased"
いたわる【労る】,労る,いたわる,"to pity, to sympathize with, to console, to care for, to be kind to"
ことわる【断る】,断る,ことわる,"to refuse, to decline, to dismiss"
たまわる【賜る】,賜る,たまわる,"to grant, to bestow"
くつがえす【覆す】,覆す,くつがえす,"to overturn, to upset, to overthrow, to undermine"
こころざす【志す】,志す,こころざす,"to plan, to intend, to aspire to, to set aims (sights on)"
よみがえる【蘇る】,蘇る,よみがえる,"to be resurrected, to be revived, to be resuscitated, to be rehabilitated"
とどこおる【滞る】,滞る,とどこおる,"to stagnate, to be delayed"
へりくだる【謙る】,謙る,へりくだる,to deprecate oneself and praise the listener
たてまつる【奉る】,奉る,たてまつる,"to offer, to present, to revere, to do respectfully"
つかさどる【司る】,司る,つかさどる,"to rule, to govern, to administer"
さかのぼる【遡る】,遡る,さかのぼる,"to go back, to go upstream, to make retroactive"
むかう【向かう】,向かう,むかう,to face
ゆらぐ【揺らぐ】,揺らぐ,ゆらぐ,"to swing, to sway, to shake, to tremble"
もとづく【基づく】,基づく,もとづく,"to be grounded on, to be based on, to be due to, to originate from "
あかす【明かす】,明かす,あかす,"to pass, spend, to reveal, to divulge"
いかす【生かす】,生かす,いかす,"to revive, to resuscitate, to make use of"
せかす【急かす】,急かす,せかす,"to hurry, to urge on"
とかす【溶かす】,溶かす,とかす,"to melt, to dissolve"
ぬかす【抜かす】,抜かす,ぬかす,"to omit, to leave out"
まかす【負かす】,負かす,まかす,to defeat
わかす【沸かす】,沸かす,わかす,"to boil, to heat"
こがす【焦がす】,焦がす,こがす,"to burn, to scorch, to singe, to char"
にがす【逃がす】,逃がす,にがす,"to let loose, to set free, to let escape"
はがす【剥がす】,剥がす,はがす,"to tear off, to peel off, to rip off, to strip off, to skin, to flay, to disrobe, to deprive of, to detach"
つくす【尽くす】,尽くす,つくす,"to exhaust, to run out, to serve (a person), to befriend"
なくす【無くす】,無くす,なくす,to lose something
なくす【亡くす】,亡くす,なくす,to lose someone
おこす【起こす】,起こす,おこす,"to raise, to cause, to wake someone"
よこす【寄こす】,寄こす,よこす,"to send, to forward"
すごす【過ごす】,過ごす,すごす,"to pass, to spend, to go through, to tide over"
はたす【果たす】,果たす,はたす,"to accomplish, to fulfill, to carry out, to achieve"
みたす【満たす】,満たす,みたす,"to satisfy, to ingratiate, to fill, to fulfill"
おとす【落とす】,落とす,おとす,"to drop, to lose, to let fall "
とばす【飛ばす】,飛ばす,とばす,"to skip over, to omit"
のばす【伸ばす】,伸ばす,のばす,"to lengthen, to stretch, to reach out, to grow (beard)"
のばす【延ばす】,延ばす,のばす,"to lengthen, to stretch, to reach out, to grow (beard)"
さます【覚ます】,覚ます,さます,to awaken
さます【冷ます】,冷ます,さます,"to cool, to dampen, to let cool"
すます【済ます】,済ます,すます,"to finish, to get it over with, to settle, to conclude, to pay back"
すます【澄ます】,澄ます,すます,"to clear, to make clear, to be unruffled, to look unconcerned, to look demure, look prim, put on airs"
はやす【生やす】,生やす,はやす,"to grow, to cultivate, to wear beard"
ひやす【冷やす】 ,冷やす,ひやす,"to cool, to refrigerate"
ふやす【増やす】,増やす,ふやす,"to increase, to add to, to augment "
ふやす【殖やす】,殖やす,ふやす,"to increase, to add to, to augment "
もやす【燃やす】,燃やす,もやす,to burn
あらす【荒らす】,荒らす,あらす,"to lay waste, to devastate, to damage, to invade, to break into "
くらす【暮らす】,暮らす,くらす,"to live, to get along"
そらす【逸らす】,逸らす,そらす,"to turn away, to avert "
ちらす【散らす】,散らす,ちらす,"to scatter, to disperse, to distribute"
てらす【照らす】,照らす,てらす,"to shine on, to illuminate"
ならす【鳴らす】,鳴らす,ならす,"to ring, to sound, to chime, to beat, to snort (nose)"
ならす【慣らす】,慣らす,ならす,to accustom
ならす【馴らす】,馴らす,ならす,"to domesticate, to tame"
ぬらす【濡らす】,濡らす,ぬらす,"to wet, to soak, to dip"
へらす【減らす】,減らす,へらす,"to abate, to decrease, to diminish, to shorten "
もらす【漏らす】,漏らす,もらす,"to let leak, to reveal"
ずらす【ずらす】,ずらす,ずらす,"to put off, to delay"
おろす【降ろす】,降ろす,おろす,"to take down, to launch, to drop "
あわす【合わす】,合わす,あわす,"to join together, to face, to unite, to be opposite, to combine, to connect"
かわす【交わす】,交わす,かわす,"to exchange (messages), to dodge, to parry, to avoid, to turn aside"
うかぶ【浮かぶ】,浮かぶ,うかぶ,"to float, to rise to surface, to come to mind"
くやむ【悔やむ】,悔やむ,くやむ,to mourn
おいる【老いる】,老いる,おいる,"to age, to grow old"
しいる【強いる】,強いる,しいる,"to force, to compel, to coerce"
うえる【植える】,植える,うえる,"to plant, to grow"
うえる【飢える】,飢える,うえる,to starve
おえる【終える】,終える,おえる,to finish
かえる【変える】,変える,かえる,to change
かえる【替える】,替える,かえる,"to exchange, to interchange, to substitute, to replace"
かえる【換える】,換える,かえる,"to exchange, to interchange, to substitute, to replace"
かえる【代える】,代える,かえる,"to exchange, to interchange, to substitute, to replace"
きえる【消える】,消える,きえる,to disappear
こえる【越える】,越える,こえる,"to exceed, to cross over, to cross "
こえる【超える】,超える,こえる,"to exceed, to cross over, to cross "
さえる【冴える】,冴える,さえる,"to be clear, to br serene, to be cold, to be skillful"
すえる【据える】,据える,すえる,"to set (table), to lay (foundation), to place (gun), to apply (moxa)"
そえる【添える】,添える,そえる,"to add to, to attach, to append, to accompany, to garnish, to imitate, to annex"
たえる【耐える】,耐える,たえる,"to bear, to endure"
たえる【絶える】,絶える,たえる,"to die out, to peter out, to become extinct "
たえる【堪える】,堪える,たえる,"to bear, to stand, to endure, to put up with, to support, to withstand, to resist, to brave, to be fit for"
にえる【煮える】,煮える,にえる,"to boil, to cook, to be cooked"
はえる【生える】,生える,はえる,"to grow, to spring up, to cut (teeth)"
はえる【映える】,映える,はえる,"to shine, to look attractive, to look pretty"
ひえる【冷える】,冷える,ひえる,to grow cold
ふえる【増える】,増える,ふえる,to increase
ふえる【殖える】,殖える,ふえる,"to increase, to multiply"
ほえる【吠える】,吠える,ほえる,"to bark, to bay, to howl, to bellow, to roar, to cry"
みえる【見える】,見える,みえる,to be in sight
もえる【燃える】,燃える,もえる,"to burn, to get fired up"
うかる【受かる】,受かる,うかる,to pass (examination)
かかる【掛かる】,掛かる,かかる,"to take (e.g. time, only, etc), to hang"
わかる【分かる】,分かる,わかる,to be understood
あがる【上がる】,上がる,あがる,"to enter, to go up, to rise, to climb up, to advance, to appreciate, to be promoted, to improve "
さがる【下がる】,下がる,さがる,"to hang down, to abate, to retire, to fall, to step back"
まがる【曲がる】,曲がる,まがる,"to turn, to bend"
あきる【飽きる】,飽きる,あきる,"to get tired of, to lose interest in, to have enough"
いきる【生きる】,生きる,いきる,to live
おきる【起きる】,起きる,おきる,to get up
つきる【尽きる】,尽きる,つきる,"to be used up, to be　run out, to be exhausted, to be consumed, to come to an end "
すぎる【過ぎる】,過ぎる,すぎる,to exceed
あける【開ける】,開ける,あける,to open
あける【明ける】,明ける,あける,"to dawn, to become　daylight"
いける【活ける】,活ける,いける,to arrange (flowers)
うける【受ける】,受ける,うける,to take a lesson or test
かける【掛ける】,掛ける,かける,to hang something
かける【欠ける】,欠ける,かける,to be lacking
かける【駆ける】,駆ける,かける,"to run (race esp. horse), to gallop, to canter "
かける【賭ける】,賭ける,かける,"to wager, to bet, to risk, to stake, to gamble "
さける【避ける】,避ける,さける,"to avoid (physical contact), o ward off, to avert "
さける【裂ける】,裂ける,さける,"to split, to tear, to burst"
つける【漬ける】,漬ける,つける,"to soak, to pickle "
つける【付ける】,付ける,つける,"to attach, to join, to add, to append"
つける【着ける】,着ける,つける,"to attach, to join, to add, to append"
つける【点ける】,点ける,つける,"to turn on, to switch on, to light up"
つける【浸ける】,浸ける,つける,"to dip, to soak"
とける【解ける】,解ける,とける,"to come untied, to come apart"
とける【溶ける】,溶ける,とける,"to melt, to thaw, to fuse, to dissolve"
どける【退ける】,退ける,どける,"to remove, to take away, to dislodge, to put something out of the way"
ぬける【抜ける】,抜ける,ぬける,"to come out, to fall out, to be omitted"
ばける【化ける】,化ける,ばける,"o appear in disguise, to take the form of, to change for the worse"
ふける【更ける】,更ける,ふける,"to get late, to advance, to wear on"
ふける【老ける】,老ける,ふける,to age
まける【負ける】,負ける,まける,to lose
むける【向ける】,向ける,むける,"to turn towards, to point"
やける【焼ける】,焼ける,やける,"to burn, to be roasted"
わける【分ける】,分ける,わける,"to divide, to separate"
あげる【上げる】,上げる,あげる,to give
あげる【揚げる】,揚げる,あげる,"to lift, to fry"
あげる【挙げる】,挙げる,あげる,"to raise, to fly"
こげる【焦げる】,焦げる,こげる,"to burn, to be burned"
さげる【下げる】,下げる,さげる,"to hang, to lower, to move back"
つげる【告げる】,告げる,つげる,to inform
とげる【遂げる】,遂げる,とげる,"to accomplish, to achieve, to carry out"
なげる【投げる】,投げる,なげる,to throw or cast away 
にげる【逃げる】,逃げる,にげる,to escape
はげる【剥げる】,剥げる,はげる,"to come off, to be worn off, to fade, to discolor"
まげる【曲げる】,曲げる,まげる,"to bend, to crook, to lean"
おこる【起こる】,起こる,おこる,"to occur, to happen"
ささる【刺さる】,刺さる,ささる,"to stick, to be stuck"
なさる【為さる】,為さる,なさる,to do
まざる【混ざる】,混ざる,まざる,"to associate with, to mingle with, to join"
まざる【交ざる】,交ざる,まざる,"to be mixed, to be blended with, to associate with, to mingle with, to join"
とじる【閉じる】,閉じる,とじる,"to close (e.g. book, eyes), to shut "
とじる【綴じる】,綴じる,とじる,"to bind, to file"
はじる【恥じる】,恥じる,はじる,to feel ashamed
まじる【混じる】,混じる,まじる,"to be mixed, to be blended with, to associate with "
まじる【交じる】,交じる,まじる,"to be mixed, to be blended with, to associate with"
かする【化する】,化する,かする,"to change into, to convert into, to transform, to be"
きせる【着せる】,着せる,きせる,"to put clothes on (someone), to dress, to clothe, to cover, to coat"
のせる【乗せる】,乗せる,のせる,"to take on board, to give a ride "
のせる【載せる】,載せる,のせる,"to place on (something), to take on board. to give a ride"
みせる【見せる】,見せる,みせる,to show
やせる【痩せる】,痩せる,やせる,to become thin
よせる【寄せる】,寄せる,よせる,"to collect, to gather, to add, to put aside "
まぜる【混ぜる】,混ぜる,まぜる,"to mix, to stir"
まぜる【交ぜる】,交ぜる,まぜる,"to be mixed, to be blended with "
あたる【当たる】,当たる,あたる,"to be hit, to be successful, to be equivalent to"
おちる【落ちる】,落ちる,おちる,to fall or drop
おちる【落ちる】,落ちる,おちる,"to fail (e.g. exam), to fall down, to drop"
くちる【朽ちる】,朽ちる,くちる,to rot
みちる【満ちる】,満ちる,みちる,"to be full, to rise (tide), to mature, to expire"
あてる【当てる】,当てる,あてる,"to hit, to apply a patch"
あてる【宛てる】,宛てる,あてる,to address
すてる【捨てる】,捨てる,すてる,to throw away 
たてる【立てる】,立てる,たてる,to stand something up
たてる【建てる】,建てる,たてる,to build
はてる【果てる】,果てる,はてる,"to end, to be finished, to be exhausted, to die, to perish"
もてる【持てる】,持てる,もてる,"to be able to possess s (hold, get, etc.), to be well liked, to be popular, to endure"
なでる【撫でる】,撫でる,なでる,"to brush gently, to stroke"
ゆでる【茹でる】,茹でる,ゆでる,to boil 
かねる【兼ねる】,兼ねる,かねる,"to hold (position), to serve, to be unable"
はねる【跳ねる】,跳ねる,はねる,"to jump, to leap"
あびる【浴びる】,浴びる,あびる,"to bathe, to bask in he sun, to shower "
おびる【帯びる】,帯びる,おびる,"to wear (sword, decoration, etc.), to carry, to be entrusted (e.g. with a mission), to take on"
さびる【錆びる】,錆びる,さびる,"to rust, to become rusty"
のびる【伸びる】,伸びる,のびる,"to stretch, to extend, to make progress, to grow (beard, body height) "
のびる【延びる】,延びる,のびる,to be prolonged
わびる【詫びる】,詫びる,わびる,to apologize
たべる【食べる】,食べる,たべる,to eat
のべる【述べる】,述べる,のべる,"to state, to express, to mention "
きまる【決まる】,決まる,きまる,"to be decided, to be settled, to look good in (clothes)"
しまる【閉まる】,閉まる,しまる,"to close, to be closed"
そまる【染まる】,染まる,そまる,to dye
たまる【溜まる】,溜まる,たまる,"to collect, to gather, to save"
つまる【詰まる】,詰まる,つまる,"to be blocked, to be packed"
とまる【止まる】,止まる,とまる,to come to a halt
とまる【泊まる】,泊まる,とまる,to lodge at
とまる【留まる】,留まる,とまる,"to be fixed, to abide, to stay"
はまる【填まる】,填まる,はまる,"to get into, to go into, to fit, to be fit for, to suit, to fall into, to plunge into, to be deceived, to be"
しみる【染みる】,染みる,しみる,"to pierce, to permeate"
うめる【埋める】,埋める,うめる,"to bury, to fill up, to fill (a seat, a vacant position)"
きめる【決める】,決める,きめる,to decide
こめる【込める】,込める,こめる,"to include, to put into"
さめる【覚める】,覚める,さめる,"to wake, to wake up"
さめる【冷める】,冷める,さめる,"to become cool, to wear off, to abate, to subside"
しめる【閉める】,閉める,しめる,to close something
しめる【締める】,締める,しめる,to tie
しめる【占める】,占める,しめる,"to comprise, to account for, to make up, to hold, to occupy "
せめる【責める】,責める,せめる,"to condemn, to blame, to criticize"
せめる【攻める】,攻める,せめる,"to attack, to assault"
そめる【染める】,染める,そめる,"to dye, to colour"
ためる【溜める】,溜める,ためる,"to amass, to accumulate"
つめる【詰める】,詰める,つめる,"to pack, to shorten, to work out (details)"
とめる【留める】,留める,とめる,"to fasten, to turn off, to detain "
とめる【止める】,止める,とめる,to stop something
とめる【泊める】,泊める,とめる,"to give shelter to, to lodge "
なめる【嘗める】,嘗める,なめる,"to lick, to taste, to experience, to make fun of,  to make light of, to put down"
はめる【填める】,填める,はめる,"to get in, to insert, to put on, to make love"
ほめる【褒める】,褒める,ほめる,"to praise, to admire, to speak well"
もめる【揉める】,揉める,もめる,"to disagree, to dispute"
やめる【止める】,止める,やめる,to stop
やめる【辞める】,辞める,やめる,to retire
ほめる【ほめる】,ほめる,ほめる,to praise
つもる【積もる】,積もる,つもる,to pile up
おりる【降りる】,降りる,おりる,"to get off, to descend"
おりる【下りる】,下りる,おりる,"to get off, to descend"
かりる【借りる】,借りる,かりる,to borrow
こりる【懲りる】,懲りる,こりる,"to to learn by experience, to be disgusted with"
たりる【足りる】,足りる,たりる,to enough
いれる【入れる】,入れる,いれる,to put in
うれる【売れる】,売れる,うれる,to be sold
おれる【折れる】,折れる,おれる,to break or be folded
かれる【枯れる】,枯れる,かれる,"to wither, to die (plant), to be blasted (plant)"
かれる【涸れる】,涸れる,かれる,"to dry up, to run out"
きれる【切れる】,切れる,きれる,"to cut well, to be sharp, to break off"
くれる【暮れる】 ,暮れる,くれる,"to get dark, to come to an end"
くれる【呉れる】,呉れる,くれる,"to give, to let one have, to do for one, to be given"
すれる【擦れる】,擦れる,すれる,"to rub, to chafe, to wear, to become sophisticated"
それる【逸れる】,逸れる,それる,"to stray (turn) from subject, to get lost, to go astray"
たれる【垂れる】,垂れる,たれる,"to hang, to droop, to drop, to lower, to pull down, to dangle, to sag, to drip, to ooze, to trickle, to leave "
とれる【取れる】,取れる,とれる,"to come off, to be taken off, to be removed"
なれる【慣れる】,慣れる,なれる,to grow accustomed to
なれる【馴れる】,馴れる,なれる,"to become domesticated, to become tame"
ぬれる【濡れる】,濡れる,ぬれる,to get wet
はれる【晴れる】,晴れる,はれる,to be sunny
はれる【腫れる】,腫れる,はれる,"to swell (from inflammation), to be become swollen"
ふれる【触れる】,触れる,ふれる,"to touch, to be touched, to touch on a subject, to feel, to violate (law, copyright, etc.), to perceive, t"
もれる【漏れる】,漏れる,もれる,"to leak out, to escape, to come through, to shine through, to filter out, to be omitted"
ゆれる【揺れる】,揺れる,ゆれる,"to shake, to sway"
われる【割れる】,割れる,われる,to break
うわる【植わる】,植わる,うわる,to be planted
おわる【終わる】,終わる,おわる,"to finish, to close"
かわる【変わる】,変わる,かわる,to change
かわる【代わる】,代わる,かわる,"to take the place of, to relieve, to be substituted for, to be exchanged, to change places with, to take "
やっつける【やっ付ける】 ,やっ付ける,やっつける,to beat
ぶらさげる【ぶら下げる】 ,ぶら下げる,ぶらさげる,"to hang, to suspend, to dangle, to swing"
やりとげる【やり遂げる】 ,やり遂げる,やりとげる,to accomplish
そこなう【損なう】,損なう,そこなう,"to harm, to hurt, to injure, to damage, to fail in doing"
さからう【逆らう】,逆らう,さからう,"to go against, to oppose, to disobey, to defy"
あじわう【味わう】,味わう,あじわう,"to taste, to savor, to relish"
にぎわう【賑わう】,賑わう,にぎわう,"to prosper, to flourish, to do thriving business, to be crowded with people"
うごかす【動かす】,動かす,うごかす,"to move, to shift"
おどかす【脅かす】,脅かす,おどかす,"to threaten, to coerce "
かわかす【乾かす】,乾かす,かわかす,"to dry (clothes, etc), to desiccate"
ころがす【転がす】,転がす,ころがす,to roll
およぼす【及ぼす】,及ぼす,およぼす,"to exert, to cause, to exercise"
ほろぼす【滅ぼす】,滅ぼす,ほろぼす,"to destroy, to overthrow, to wreck, to ruin "
なやます【悩ます】,悩ます,なやます,"to afflict, to torment, to harass, to molest"
はげます【励ます】,励ます,はげます,"to encourage, to cheer, to raise (the voice)"
ついやす【費やす】,費やす,ついやす,"to spend, to devote, to waste "
おくらす【遅らす】,遅らす,おくらす,"to retard, to delay "
こごらす【凝らす】,凝らす,こごらす,"to freeze, to congeal"
もたらす【齎らす】,齎らす,もたらす,"to bring, to take, to bring about"
かなしむ【悲しむ】,悲しむ,かなしむ,"to be sad, to mourn for, to regret"
くるしむ【苦しむ】,苦しむ,くるしむ,"to suffer, to grain, to be worried"
したしむ【親しむ】,親しむ,したしむ,"to be intimate with, to befriend"
たのしむ【楽しむ】,楽しむ,たのしむ,to enjoy oneself
あからむ【赤らむ】,赤らむ,あからむ,"to become red, to redden, to blush"
あやぶむ【危ぶむ】,危ぶむ,あやぶむ,"to fear, to have misgivings, to be doubtful to mistrust"
ふくらむ【膨らむ】,膨らむ,ふくらむ,"to expand, to swell (out), to get big, to become inflated"
ひきいる【率いる】,率いる,ひきいる,"to lead, to spearhead (a group), to command (troops)"
もちいる【用いる】,用いる,もちいる,"to use, to make use of"
あたえる【与える】,与える,あたえる,"to give, to present, to award"
あまえる【甘える】,甘える,あまえる,"to behave like a spoiled child, to fawn on"
おさえる【押える】,押える,おさえる,"to stop, to restrain, to seize, to repress, to suppress, to press down"
おしえる【教える】,教える,おしえる,"to teach, to tell"
おびえる【怯える】,怯える,おびえる,"to become frightened, to have a nightmare"
おぼえる【覚える】,覚える,おぼえる,to remember
かかえる【抱える】,抱える,かかえる,to hold or carry under or in the arms
かぞえる【数える】,数える,かぞえる,to count
かなえる【叶える】,叶える,かなえる,"to grant (request, wish)"
かまえる【構える】,構える,かまえる,to set up
きたえる【鍛える】,鍛える,きたえる,"to forge, to drill, to temper, to train, to discipline"
くわえる【加える】,加える,くわえる,"to append, to sum up, to add up"
さかえる【栄える】,栄える,さかえる,"to prosper, to flourish"
こごえる【凍える】,凍える,こごえる,"to freeze, to be chilled, to be frozen"
ささえる【支える】,支える,ささえる,"to support, to hold, to maintain"
こたえる【答える】,答える,こたえる,to answer
そなえる【備える】,備える,そなえる,"to furnish, to provide for, to equip, to install"
そなえる【具える】,具える,そなえる,to be furnished with
そびえる【聳える】,聳える,そびえる,"to rise, to tower, to soar"
そろえる【揃える】,揃える,そろえる,"to put things in order, to arrange, to make uniform, to get something ready"
たとえる【例える】,例える,たとえる,"to compare, to liken, to speak figuratively, to illustrate, to use a simile"
ちがえる【違える】,違える,ちがえる,to change
つかえる【仕える】,仕える,つかえる,"to serve, to work for"
つたえる【伝える】,伝える,つたえる,to report
